year,month,Market,RiskfreeRate
1983,5,0.0121,0.0069
1983,6,0.0374,0.0067
1983,7,-0.0333,0.0074
1983,8,0.0026,0.0076
1983,9,0.0167,0.0076
1983,10,-0.0268,0.0076
1983,11,0.0286,0.0070
1983,12,-0.0105,0.0073
1984,1,-0.0116,0.0076
1984,2,-0.0411,0.0071
1984,3,0.0136,0.0073
1984,4,0.0030,0.0081
1984,5,-0.0519,0.0078
1984,6,0.0257,0.0075
1984,7,-0.0192,0.0082
1984,8,0.1111,0.0083
1984,9,0.0006,0.0086
1984,10,0.0016,0.0100
1984,11,-0.0103,0.0073
1984,12,0.0248,0.0064
1985,1,0.0864,0.0065
1985,2,0.0180,0.0058
1985,3,-0.0022,0.0062
1985,4,-0.0024,0.0072
1985,5,0.0575,0.0066
1985,6,0.0182,0.0055
1985,7,-0.0012,0.0062
1985,8,-0.0047,0.0055
1985,9,-0.0394,0.0060
1985,10,0.0467,0.0065
1985,11,0.0709,0.0061
1985,12,0.0453,0.0065
1986,1,0.0121,0.0056
1986,2,0.0766,0.0053
1986,3,0.0548,0.0060
1986,4,-0.0079,0.0052
1986,5,0.0511,0.0049
1986,6,0.0155,0.0052
1986,7,-0.0593,0.0052
1986,8,0.0653,0.0046
1986,9,-0.0815,0.0045
1986,10,0.0512,0.0046
1986,11,0.0156,0.0039
1986,12,-0.0278,0.0049
1987,1,0.1289,0.0042
1987,2,0.0482,0.0043
1987,3,0.0211,0.0047
1987,4,-0.0167,0.0044
1987,5,0.0049,0.0038
1987,6,0.0442,0.0048
1987,7,0.0431,0.0046
1987,8,0.0399,0.0047
1987,9,-0.0214,0.0045
1987,10,-0.2264,0.0060
1987,11,-0.0742,0.0035
1987,12,0.0720,0.0039
1988,1,0.0450,0.0029
1988,2,0.0521,0.0046
1988,3,-0.0183,0.0044
1988,4,0.0102,0.0046
1988,5,0.0022,0.0051
1988,6,0.0528,0.0049
1988,7,-0.0074,0.0051
1988,8,-0.0272,0.0059
1988,9,0.0392,0.0062
1988,10,0.0176,0.0061
1988,11,-0.0172,0.0057
1988,12,0.0212,0.0063
1989,1,0.0665,0.0055
1989,2,-0.0164,0.0061
1989,3,0.0224,0.0067
1989,4,0.0500,0.0067
1989,5,0.0414,0.0079
1989,6,-0.0064,0.0071
1989,7,0.0790,0.0070
1989,8,0.0218,0.0074
1989,9,-0.0011,0.0065
1989,10,-0.0299,0.0068
1989,11,0.0172,0.0069
1989,12,0.0177,0.0061
1990,1,-0.0728,0.0057
1990,2,0.0168,0.0057
1990,3,0.0247,0.0064
1990,4,-0.0267,0.0069
1990,5,0.0910,0.0068
1990,6,-0.0046,0.0063
1990,7,-0.0122,0.0068
1990,8,-0.0949,0.0066
1990,9,-0.0552,0.0060
1990,10,-0.0124,0.0068
1990,11,0.0692,0.0057
1990,12,0.0306,0.0060
1991,1,0.0521,0.0052
1991,2,0.0767,0.0048
1991,3,0.0309,0.0044
1991,4,0.0025,0.0053
1991,5,0.0412,0.0047
1991,6,-0.0452,0.0042
1991,7,0.0473,0.0049
1991,8,0.0278,0.0046
1991,9,-0.0113,0.0046
1991,10,0.0171,0.0042
1991,11,-0.0380,0.0039
1991,12,0.1122,0.0038
1992,1,-0.0025,0.0034
1992,2,0.0137,0.0028
1992,3,-0.0232,0.0034
1992,4,0.0139,0.0032
1992,5,0.0058,0.0028
1992,6,-0.0202,0.0032
1992,7,0.0408,0.0031
1992,8,-0.0212,0.0026
1992,9,0.0145,0.0026
1992,10,0.0125,0.0023
1992,11,0.0436,0.0023
1992,12,0.0181,0.0028
1993,1,0.0116,0.0023
1993,2,0.0034,0.0022
1993,3,0.0255,0.0025
1993,4,-0.0281,0.0024
1993,5,0.0311,0.0022
1993,6,0.0056,0.0025
1993,7,-0.0010,0.0024
1993,8,0.0396,0.0025
1993,9,0.0014,0.0026
1993,10,0.0163,0.0022
1993,11,-0.0164,0.0025
1993,12,0.0188,0.0023
1994,1,0.0312,0.0025
1994,2,-0.0234,0.0021
1994,3,-0.0451,0.0027
1994,4,0.0095,0.0027
1994,5,0.0089,0.0031
1994,6,-0.0272,0.0031
1994,7,0.0310,0.0028
1994,8,0.0438,0.0037
1994,9,-0.0194,0.0037
1994,10,0.0172,0.0038
1994,11,-0.0367,0.0037
1994,12,0.0130,0.0044
1995,1,0.0222,0.0042
1995,2,0.0403,0.0040
1995,3,0.0265,0.0046
1995,4,0.0255,0.0044
1995,5,0.0344,0.0054
1995,6,0.0319,0.0047
1995,7,0.0417,0.0045
1995,8,0.0102,0.0047
1995,9,0.0378,0.0043
1995,10,-0.0105,0.0047
1995,11,0.0438,0.0042
1995,12,0.0152,0.0049
1996,1,0.0269,0.0043
1996,2,0.0172,0.0039
1996,3,0.0112,0.0039
1996,4,0.0252,0.0046
1996,5,0.0278,0.0042
1996,6,-0.0074,0.0040
1996,7,-0.0552,0.0045
1996,8,0.0318,0.0041
1996,9,0.0545,0.0044
1996,10,0.0128,0.0042
1996,11,0.0666,0.0041
1996,12,-0.0124,0.0046
1997,1,0.0544,0.0045
1997,2,-0.0010,0.0039
1997,3,-0.0460,0.0043
1997,4,0.0447,0.0043
1997,5,0.0723,0.0049
1997,6,0.0447,0.0037
1997,7,0.0776,0.0043
1997,8,-0.0374,0.0041
1997,9,0.0579,0.0044
1997,10,-0.0338,0.0042
1997,11,0.0337,0.0039
1997,12,0.0180,0.0048
1998,1,0.0058,0.0043
1998,2,0.0743,0.0039
1998,3,0.0515,0.0039
1998,4,0.0116,0.0043
1998,5,-0.0267,0.0040
1998,6,0.0359,0.0041
1998,7,-0.0206,0.0040
1998,8,-0.1565,0.0043
1998,9,0.0661,0.0046
1998,10,0.0745,0.0032
1998,11,0.0641,0.0031
1998,12,0.0654,0.0038
1999,1,0.0385,0.0035
1999,2,-0.0373,0.0035
1999,3,0.0388,0.0043
1999,4,0.0470,0.0037
1999,5,-0.0212,0.0034
1999,6,0.0517,0.0040
1999,7,-0.0311,0.0038
1999,8,-0.0099,0.0039
1999,9,-0.0240,0.0039
1999,10,0.0651,0.0039
1999,11,0.0373,0.0036
1999,12,0.0816,0.0044
2000,1,-0.0433,0.0041
2000,2,0.0288,0.0043
2000,3,0.0567,0.0047
2000,4,-0.0594,0.0046
2000,5,-0.0392,0.0050
2000,6,0.0504,0.0040
2000,7,-0.0203,0.0048
2000,8,0.0753,0.0050
2000,9,-0.0494,0.0051
2000,10,-0.0220,0.0056
2000,11,-0.1021,0.0051
2000,12,0.0169,0.0050
2001,1,0.0367,0.0054
2001,2,-0.0967,0.0038
2001,3,-0.0684,0.0042
2001,4,0.0833,0.0039
2001,5,0.0104,0.0032
2001,6,-0.0166,0.0028
2001,7,-0.0183,0.0030
2001,8,-0.0615,0.0031
2001,9,-0.0897,0.0028
